SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
5,土城,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 02:00,0.7
70,永和,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,1.2
84,富貴角,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,50.1
70,永和,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 00:00,89
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,x
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,30
84,富貴角,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,0.9
84,富貴角,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0
6,板橋,新北市,7,二氧化氮,NO2,ppb,2022-01-10 02:00,7
2,汐止,新北市,11,風向,WIND_DIREC,degrees,2022-01-10 02:00,28
84,富貴角,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.4
84,富貴角,新北市,23,雨量,RAINFALL,mm,2022-01-01 00:00,0
84,富貴角,新北市,17,大氣壓力,PRESSURE,hPa,2022-01-01 00:00,767
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,11
84,富貴角,新北市,38,相對濕度,RH,%,2022-01-01 00:00,82
2,汐止,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,17
2,汐止,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,14.8
2,汐止,新北市,38,相對濕度,RH,%,2022-01-01 00:00,95
2,汐止,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,1.5
3,萬里,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,0.3
3,萬里,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.19
3,萬里,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0.9
3,萬里,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,2.9
3,萬里,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,2
70,永和,新北市,31,甲烷,CH4,ppm,2022-01-01 02:00,2.04
3,萬里,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,51
3,萬里,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.2
3,萬里,新北市,32,降雨強度,RAIN_INT,㎜,2022-01-01 00:00,0.5
3,萬里,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,11
3,萬里,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 00:00,51
4,新店,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,0.6
4,新店,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.21
4,新店,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,30.4
4,新店,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,8.7
4,新店,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0.5
4,新店,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,8.1
8,菜寮,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-10 00:00,11.0
4,新店,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,53
4,新店,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.1
4,新店,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,11
4,新店,新北市,38,相對濕度,RH,%,2022-01-01 00:00,95
5,土城,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0.4
5,土城,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.5
4,新店,新北市,5,氮氧化物,NOx,ppb,2022-01-01 02:00,7.6
4,新店,新北市,6,一氧化氮,NO,ppb,2022-01-01 02:00,0.3
5,土城,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,10.1
4,新店,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 02:00,0.6
5,土城,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,14
4,新店,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 02:00,70
5,土城,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,9.6
5,土城,新北市,8,總碳氫化物,THC,ppm,2022-01-01 00:00,2.22
5,土城,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 00:00,1.4
5,土城,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,4
4,新店,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 02:00,0.7
4,新店,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 02:00,49
5,土城,新北市,1,二氧化硫,SO2,ppb,2022-01-01 02:00,0.6
5,土城,新北市,2,一氧化碳,CO,ppm,2022-01-01 02:00,0.27
5,土城,新北市,23,雨量,RAINFALL,mm,2022-01-01 00:00,0
5,土城,新北市,31,甲烷,CH4,ppm,2022-01-01 00:00,2.12
5,土城,新北市,38,相對濕度,RH,%,2022-01-01 00:00,92
5,土城,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,0.7
6,板橋,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.27
6,板橋,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,36.1
5,土城,新北市,6,一氧化氮,NO,ppb,2022-01-01 02:00,0.5
5,土城,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 02:00,354
5,土城,新北市,7,二氧化氮,NO2,ppb,2022-01-01 02:00,8.9
70,永和,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-01-01 02:00,0.06
5,土城,新北市,8,總碳氫化物,THC,ppm,2022-01-01 02:00,2.22
3,萬里,新北市,6,一氧化氮,NO,ppb,2022-01-01 03:00,0.4
3,萬里,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 03:00,59.0
3,萬里,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 03:00,15.9
3,萬里,新北市,32,降雨強度,RAIN_INT,㎜,2022-01-01 03:00,0.0
5,土城,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 03:00,328.0
10,淡水,新北市,7,二氧化氮,NO2,ppb,2022-01-10 02:00,1.5
6,板橋,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,31
7,新莊,新北市,38,相對濕度,RH,%,2022-01-01 02:00,91
5,土城,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 02:00,1.5
70,永和,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 02:00,15
70,永和,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 02:00,103
5,土城,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-01-01 02:00,0.09
70,永和,新北市,31,甲烷,CH4,ppm,2022-01-01 02:00,2.04
6,板橋,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,10.2
6,板橋,新北市,32,降雨強度,RAIN_INT,㎜,2022-01-01 00:00,0
6,板橋,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,37
6,板橋,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,10.5
6,板橋,新北市,8,總碳氫化物,THC,ppm,2022-01-01 00:00,2.06
6,板橋,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-01-01 00:00,0.06
6,板橋,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,94
6,板橋,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.2
6,板橋,新北市,38,相對濕度,RH,%,2022-01-01 00:00,85
6,板橋,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,1.2
7,新莊,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,1.1
7,新莊,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.22
7,新莊,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,21
7,新莊,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,8
7,新莊,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,7.2
7,新莊,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 00:00,3
7,新莊,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,12
7,新莊,新北市,38,相對濕度,RH,%,2022-01-01 00:00,90
7,新莊,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 00:00,86
8,菜寮,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,0.4
8,菜寮,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,6
8,菜寮,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,8.1
8,菜寮,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0.7
8,菜寮,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,7.4
8,菜寮,新北市,38,相對濕度,RH,%,2022-01-01 00:00,87
8,菜寮,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,2.3
9,林口,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.21
9,林口,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,0.9
9,林口,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,39.2
9,林口,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,7
9,林口,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0.4
9,林口,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,6.8
8,菜寮,新北市,5,氮氧化物,NOx,ppb,2022-01-10 00:00,12.4
9,林口,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,84
9,林口,新北市,23,雨量,RAINFALL,mm,2022-01-01 00:00,0
9,林口,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,9
9,林口,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 00:00,86
10,淡水,新北市,1,二氧化硫,SO2,ppb,2022-01-01 00:00,0.9
10,淡水,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,35.1
10,淡水,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,16
3,萬里,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-10 02:00,28
10,淡水,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,x
10,淡水,新北市,17,大氣壓力,PRESSURE,hPa,2022-01-01 00:00,x
10,淡水,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,8
67,三重,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,26.9
67,三重,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,15
67,三重,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,9.3
67,三重,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,17.1
67,三重,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.8
67,三重,新北市,23,雨量,RAINFALL,mm,2022-01-01 00:00,0
67,三重,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,14
67,三重,新北市,38,相對濕度,RH,%,2022-01-01 00:00,85
70,永和,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.33
70,永和,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,33.7
70,永和,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 00:00,1.2
5,土城,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 02:00,7
70,永和,新北市,11,風向,WIND_DIREC,degrees,2022-01-01 00:00,86
2,汐止,新北市,38,相對濕度,RH,%,2022-01-01 01:00,96
7,新莊,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 02:00,2.5
7,新莊,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 02:00,91
70,永和,新北市,4,懸浮微粒,PM10,μg/m3,2022-01-01 00:00,18
70,永和,新北市,5,氮氧化物,NOx,ppb,2022-01-01 00:00,11
70,永和,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,9.2
70,永和,新北市,8,總碳氫化物,THC,ppm,2022-01-01 00:00,2.12
70,永和,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15
70,永和,新北市,23,雨量,RAINFALL,mm,2022-01-01 00:00,0
70,永和,新北市,31,甲烷,CH4,ppm,2022-01-01 00:00,2.02
70,永和,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,18
70,永和,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,1.2
70,永和,新北市,144,小時風向值,WD_HR,degrees,2022-01-01 00:00,89
84,富貴角,新北市,3,臭氧,O3,ppb,2022-01-01 00:00,50.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2022-01-01 00:00,0.17
84,富貴角,新北市,6,一氧化氮,NO,ppb,2022-01-01 00:00,0
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2022-01-01 00:00,0.8
84,富貴角,新北市,10,風速,WIND_SPEED,m/sec,2022-01-01 00:00,6.6
84,富貴角,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-01-01 00:00,0.01
84,富貴角,新北市,14,溫度,AMB_TEMP,℃,2022-01-01 00:00,15.4
84,富貴角,新北市,17,大氣壓力,PRESSURE,hPa,2022-01-01 00:00,767
84,富貴角,新北市,31,甲烷,CH4,ppm,2022-01-01 00:00,1.99
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 00:00,11
8,菜寮,新北市,23,雨量,RAINFALL,mm,2022-01-01 02:00,0
8,菜寮,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 02:00,9
8,菜寮,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 02:00,2
67,三重,新北市,2,一氧化碳,CO,ppm,2022-01-01 02:00,0.51
67,三重,新北市,5,氮氧化物,NOx,ppb,2022-01-01 02:00,23.4
67,三重,新北市,6,一氧化氮,NO,ppb,2022-01-01 02:00,8.1
67,三重,新北市,8,總碳氫化物,THC,ppm,2022-01-01 02:00,2.2
67,三重,新北市,9,非甲烷碳氫化合物,NMHC,ppm,2022-01-01 02:00,0.11
67,三重,新北市,38,相對濕度,RH,%,2022-01-01 02:00,86
70,永和,新北市,1,二氧化硫,SO2,ppb,2022-01-01 02:00,0.6
2,汐止,新北市,33,細懸浮微粒,PM2.5,μg/m3,2022-01-01 01:00,10
70,永和,新北市,3,臭氧,O3,ppb,2022-01-01 02:00,35.9
70,永和,新北市,6,一氧化氮,NO,ppb,2022-01-01 02:00,0.7
70,永和,新北市,5,氮氧化物,NOx,ppb,2022-01-01 02:00,8
70,永和,新北市,7,二氧化氮,NO2,ppb,2022-01-01 02:00,7.3
70,永和,新北市,8,總碳氫化物,THC,ppm,2022-01-01 02:00,2.11
84,富貴角,新北市,143,小時風速值,WS_HR,m/sec,2022-01-01 00:00,4.1
3,萬里,新北市,1,二氧化硫,SO2,ppb,2022-01-03 00:00,0.9
